,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
2807,2018,9,LA,NO,35,45,62.0,1579.0,0.6833333333333333,0.3166666666666666,-0.43809776642882564,-0.8967538509256116,0.8868837415957568
2808,2018,9,LAC,SEA,25,17,51.0,1459.0,0.5686274509803921,0.4313725490196078,-1.671948995777514,-1.3436838340794262,-0.1969953808486084
2809,2018,9,LV,SF,3,34,57.0,1886.0,0.5925925925925926,0.4074074074074074,-0.9989392343145931,0.24664202264289753,0.029456097724763073
2811,2018,9,MIA,NYJ,13,6,57.0,1706.0,0.5283018867924528,0.4716981132075472,-0.9989392343145931,-0.4237529520878244,-0.5780398070586897
2812,2018,9,MIN,DET,24,9,53.0,1591.0,0.5,0.5,-1.447612408623207,-0.8520608526102301,-0.8454700694905358
2813,2018,9,NE,GB,31,17,70.0,1646.0,0.5846153846153846,0.4153846153846154,0.4592485821884022,-0.6472179436647317,-0.04592215668147748
2815,2018,9,NO,LA,45,35,71.0,2021.0,0.5294117647058824,0.4705882352941176,0.5714168757655557,0.749438253690939,-0.5675523457868525
2816,2018,9,NYJ,MIA,6,13,67.0,1894.0,0.671875,0.328125,0.12274370145694176,0.27643735485315185,0.7786116284028634
2817,2018,9,PIT,BAL,23,16,77.0,2189.0,0.6447368421052632,0.3552631578947368,1.2444266372284767,1.3751402301062794,0.5221776761039056
2819,2018,9,SEA,LAC,17,25,77.0,2141.0,0.5616438356164384,0.4383561643835616,1.2444266372284767,1.1963682368447537,-0.2629849773444597
2820,2018,9,SF,LV,34,3,56.0,1714.0,0.4313725490196078,0.5686274509803921,-1.1111075278917466,-0.3939576198775701,-1.4939447581324639
2821,2018,9,TB,CAR,28,42,65.0,1740.0,0.676923076923077,0.3230769230769231,-0.1015928856973652,-0.2971227901942436,0.8263119300193132
2823,2018,9,TEN,DAL,28,14,70.0,2066.0,0.4925373134328358,0.5074626865671642,0.4592485821884022,0.9170369973736194,-0.915986506848187
2824,2018,9,WAS,ATL,14,38,64.0,1624.0,0.765625,0.234375,-0.21376117927451868,-0.7291551072429311,1.664474372708354
2825,2018,10,ARI,KC,14,26,69.0,1907.0,0.6470588235294118,0.3529411764705882,0.34708028861124873,0.3248547696948151,0.5441185490278809
2826,2018,10,ATL,CLE,16,28,74.0,1883.0,0.7397260273972602,0.2602739726027397,0.9079217564970161,0.23546877306405217,1.419749733299759
2827,2018,10,BUF,NYJ,41,10,75.0,2362.0,0.380281690140845,0.6197183098591549,1.0200900500741696,2.019464289153029,-1.9767126349886277
2829,2018,10,CAR,PIT,21,52,56.0,1765.0,0.6071428571428571,0.3928571428571428,-1.1111075278917466,-0.20401237703719888,0.16694449543002424
2830,2018,10,CHI,DET,34,22,60.0,1749.0,0.5925925925925926,0.4074074074074074,-0.6624343535831326,-0.26360304145770747,0.029456097724763073
2831,2018,10,CIN,NO,14,51,43.0,1214.0,0.6190476190476191,0.3809523809523809,-2.569295344394742,-2.2561658830184643,0.2794350026434205
