,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
87,2014,3,GB,DET,7,19,35,118.0,-2.5669446,1.0,3.3714285714285714,-0.07334127428571428,0.02857142857142857,0
88,2014,3,HOU,NYG,17,30,41,194.0,-1.8259289,1.0,4.7317073170731705,-0.0445348512195122,0.024390243902439025,0
90,2014,3,IND,JAX,44,17,20,105.0,-0.8658556,0.0,5.25,-0.043292779999999996,0.0,1
92,2014,3,JAX,IND,17,44,28,145.0,-2.7727406,0.0,5.178571428571429,-0.09902645,0.0,0
94,2014,3,KC,MIA,34,15,20,141.0,-1.320002,0.0,7.05,-0.06600009999999999,0.0,0
95,2014,3,LA,DAL,31,34,27,125.0,-3.2102902,1.0,4.62962962962963,-0.11889963703703704,0.037037037037037035,0
96,2014,3,LAC,BUF,22,10,22,87.0,-3.3553154,0.0,3.9545454545454546,-0.15251433636363634,0.0,1
97,2014,3,LV,NE,9,16,29,83.0,-4.682076,0.0,2.8620689655172415,-0.16145089655172415,0.0,1
98,2014,3,MIA,KC,15,34,41,174.0,-0.5815978,2.0,4.2439024390243905,-0.014185312195121952,0.04878048780487805,0
99,2014,3,MIN,NO,9,20,30,110.0,-7.4160786,1.0,3.6666666666666665,-0.24720261999999998,0.03333333333333333,0
101,2014,3,NE,LV,16,9,22,67.0,-5.671562,0.0,3.0454545454545454,-0.25779827272727274,0.0,1
102,2014,3,NO,MIN,20,9,20,62.0,-1.6793597,0.0,3.1,-0.083967985,0.0,1
103,2014,3,NYG,HOU,30,17,25,119.0,-3.3719087,1.0,4.76,-0.134876348,0.04,0
104,2014,3,NYJ,CHI,19,27,18,63.0,-1.5932922,0.0,3.5,-0.08851623333333333,0.0,1
105,2014,3,PHI,WAS,37,34,27,85.0,-1.6041733,1.0,3.1481481481481484,-0.05941382592592593,0.037037037037037035,1
106,2014,3,PIT,CAR,37,19,10,42.0,-1.1848681,0.0,4.2,-0.11848681000000001,0.0,1
107,2014,3,SEA,DEN,26,20,19,37.0,-13.378544,0.0,1.9473684210526316,-0.7041338947368421,0.0,1
109,2014,3,SF,ARI,14,23,24,90.0,-0.15191317,0.0,3.75,-0.006329715416666666,0.0,1
110,2014,3,TB,ATL,14,56,36,144.0,-12.540653,3.0,4.0,-0.34835147222222224,0.08333333333333333,0
112,2014,3,TEN,CIN,7,33,30,117.0,3.592825,3.0,3.9,0.11976083333333333,0.1,0
113,2014,3,WAS,PHI,34,37,23,56.0,-11.139548,0.0,2.4347826086956523,-0.48432817391304345,0.0,1
114,2014,4,ATL,MIN,28,41,44,241.0,7.271222,4.0,5.4772727272727275,0.16525504545454545,0.09090909090909091,0
115,2014,4,BAL,CAR,38,10,26,67.0,-13.087623,0.0,2.576923076923077,-0.5033701153846154,0.0,1
116,2014,4,BUF,HOU,17,23,21,39.0,-6.6071725,0.0,1.8571428571428572,-0.3146272619047619,0.0,1
117,2014,4,CAR,BAL,10,38,30,127.0,-2.1508694,2.0,4.233333333333333,-0.07169564666666667,0.06666666666666667,0
119,2014,4,CHI,GB,17,38,18,56.0,1.7229321,1.0,3.111111111111111,0.09571845,0.05555555555555555,1
121,2014,4,DAL,NO,38,17,13,104.0,2.8869352,0.0,8.0,0.22207193846153844,0.0,1
122,2014,4,DET,NYJ,24,17,27,132.0,-1.179699,1.0,4.888888888888889,-0.04369255555555556,0.037037037037037035,0
123,2014,4,GB,CHI,38,17,41,235.0,6.352316,0.0,5.7317073170731705,0.15493453658536585,0.0,0
124,2014,4,HOU,BUF,23,17,23,96.0,-1.8169905,0.0,4.173913043478261,-0.07899958695652173,0.0,1
